Unnamed: 0,authors,title,journal,pmid,year,accession,Organisms,RecordYears,Hosts,Countries,IsolateYears,CDS,SeqLens,AlignLens,PcntIDs
100,"Volynkina A., Kotenev E.",Direct Submission," Laboratory on Natural Focal Infections, Stavropol State Research Anti-Plague Institute, Sovetskaya str. 13-15, Stavropol, Stavropol region 355017, Russian Federation",,2019,"MN004875.1, MN004874.1, MN004873.1, MN004872.1, MN004871.1, MN004870.1, MN004869.1, MN004868.1, MN004867.1, MN004866.1, MN004865.1, MN004864.1, MN004863.1, MN004862.1, MN004861.1, MN004860.1, MN004859.1, MN004858.1, MN004857.1, MN004856.1, MN004855.1",Orthonairovirus haemorrhagiae (21),18-J (21),Homo sapiens (21),Russia (21),"May- (12), Jun- (6), Jul- (3)","RNA-dependent RNA polymerase (7), envelope glycoprotein (7), nucleocapsid protein (7)","437 (7), 435 (7), 538 (7)","145 (14), 179 (7)",95%-100% (21)
101,"Volynkina A., Kotenev E., Kolosov A.",Direct Submission," Laboratory on Natural Focal Infections, Stavropol State Research Anti-Plague Institute, Sovetskaya str. 13-15, Stavropol, Stavropol Region 355035, Russian Federation",,2019,"MN624960.1, MN624959.1, MN624958.1, MN624957.1, MN624956.1, MN624955.1, MN624954.1, MN624953.1, MN624952.1, MN624951.1, MN624950.1, MN624949.1, MN624948.1, MN624947.1, MN624946.1, MN624945.1, MN624944.1, MN624943.1, MN624942.1, MN624941.1, MN624940.1, MN624939.1, MN624938.1, MN624937.1, MN624936.1, MN624935.1, MN624934.1, MN624933.1, MN624932.1, MN624931.1, MN624930.1, MN624929.1, MN624928.1, MN624927.1, MN624926.1, MN624925.1, MN624924.1, MN624923.1, MN624922.1, MN624921.1, MN624920.1, MN624919.1, MN624918.1, MN624917.1, MN624916.1, MN624915.1, MN624914.1, MN624913.1, MN624912.1, MN624911.1, MN624910.1, MN624909.1, MN624908.1, MN624907.1, MN624906.1, MN624905.1, MN624904.1, MN624903.1, MN624902.1, MN624901.1, MN624900.1, MN624899.1, MN624898.1, MN624897.1, MN624896.1, MN624895.1, MN624894.1, MN624893.1, MN624892.1, MN624891.1, MN624890.1, MN624889.1, MN624888.1, MN624887.1, MN624886.1, MN624885.1, MN624884.1, MN624883.1, MN624882.1, MN624881.1, MN624880.1, MN624879.1, MN624878.1, MN624877.1, MN624876.1, MN624875.1, MN624874.1, MN624873.1, MN624872.1, MN624871.1, MN624870.1, MN624869.1, MN624868.1, MN624867.1, MN624866.1, MN624865.1, MN624864.1, MN624863.1, MN624862.1, MN624861.1, MN624860.1, MN624859.1, MN624858.1, MN624857.1, MN624856.1, MN624855.1, MN624854.1, MN624853.1, MN624852.1, MN624851.1, MN624850.1, MN624849.1, MN624848.1, MN624847.1, MN624846.1, MN624845.1, MN624844.1, MN624843.1, MN624842.1, MN624841.1, MN624840.1, MN624839.1, MN624838.1, MN624837.1, MN624836.1, MN624835.1, MN624834.1, MN624833.1, MN624832.1, MN624831.1, MN624830.1, MN624829.1, MN624828.1, MN624827.1, MN624826.1, MN624825.1, MN624824.1, MN624823.1, MN624822.1, MN624821.1, MN624820.1, MN624819.1, MN624818.1, MN624817.1, MN624816.1, MN624815.1, MN624814.1, MN624813.1, MN624812.1, MN624811.1, MN624810.1, MN624809.1, MN624808.1, MN624807.1, MN624806.1, MN624805.1, MN624804.1, MN624803.1, MN624802.1, MN624801.1, MN624800.1, MN624799.1, MN624798.1, MN624797.1, MN624796.1, MN624795.1, MN624794.1, MN624793.1, MN624792.1, MN624791.1, MN624790.1, MN624789.1, MN624788.1, MN624787.1, MN624786.1, MN624785.1, MN624784.1, MN624783.1, MN624782.1, MN624781.1, MN624780.1, MN624779.1, MN624778.1, MN624777.1, MN624776.1, MN624775.1, MN624774.1, MN624773.1, MN624772.1, MN624771.1, MN624770.1, MN624769.1, MN624768.1, MN624767.1, MN624766.1, MN624765.1, MN624764.1, MN624763.1, MN624762.1, MN624761.1, MN624760.1, MN624759.1, MN624758.1, MN624757.1, MN624756.1, MN624755.1, MN624754.1, MN624753.1, MN624752.1, MN624751.1, MN624750.1, MN624749.1, MN624748.1, MN624747.1, MN624746.1, MN624745.1, MN624744.1, MN624743.1, MN624742.1, MN624741.1, MN624740.1, MN624739.1, MN624738.1, MN624737.1, MN624736.1, MN624735.1, MN624734.1, MN624733.1, MN624732.1, MN624731.1, MN624730.1, MN624729.1, MN624728.1, MN624727.1, MN624726.1, MN624725.1, MN624724.1, MN624723.1, MN624722.1, MN624721.1, MN624720.1, MN624719.1, MN624718.1, MN624717.1, MN624716.1, MN624715.1, MN624714.1, MN624713.1, MN624712.1, MN624711.1, MN624710.1, MN624709.1, MN624708.1, MN624707.1, MN624706.1, MN624705.1, MN624704.1, MN624703.1, MN624702.1, MN624701.1, MN624700.1, MN624699.1, MN624698.1, MN624697.1, MN624696.1, MN624695.1, MN624694.1, MN624693.1, MN624692.1, MN624691.1, MN624690.1, MN624689.1, MN624688.1, MN624687.1, MN624686.1, MN624685.1, MN624684.1, MN624683.1, MN624682.1, MN624681.1, MN624680.1, MN624679.1, MN624678.1, MN624677.1, MN624676.1, MN624675.1, MN624674.1, MN624673.1, MN624672.1, MN624671.1, MN624670.1, MN624669.1, MN624668.1, MN624667.1, MN624666.1, MN624665.1, MN624664.1, MN624663.1, MN624662.1, MN624661.1, MN624660.1, MN624659.1, MN624658.1, MN624657.1, MN624656.1, MN624655.1, MN624654.1, MN624653.1, MN624652.1, MN624651.1, MN624650.1, MN624649.1, MN624648.1, MN624647.1, MN624646.1, MN624645.1, MN624644.1, MN624643.1, MN624642.1, MN624641.1, MN624640.1, MN624639.1, MN624638.1, MN624637.1, MN624636.1, MN624635.1, MN624634.1, MN624633.1, MN624632.1, MN624631.1, MN624630.1, MN624629.1, MN624628.1, MN624627.1, MN624626.1, MN624625.1, MN624624.1, MN624623.1, MN624622.1, MN624621.1, MN624620.1, MN624619.1, MN624618.1, MN624617.1, MN624616.1, MN624615.1, MN624614.1, MN624613.1, MN624612.1, MN624611.1, MN624610.1, MN624609.1, MN624608.1, MN624607.1, MN624606.1, MN624605.1, MN624604.1, MN624603.1, MN624602.1, MN624601.1, MN624600.1, MN624599.1, MN624598.1, MN624597.1, MN624596.1, MN624595.1, MN624594.1, MN624593.1, MN624592.1, MN624591.1, MN624590.1, MN624589.1, MN624588.1, MN624587.1, MN624586.1, MN624585.1, MN624584.1, MN624583.1, MN624582.1, MN624581.1, MN624580.1, MN624579.1, MN624578.1, MN624577.1, MN624576.1, MN624575.1, MN624574.1, MN624573.1, MN624572.1, MN624571.1, MN624570.1, MN624569.1, MN624568.1, MN624567.1, MN624566.1, MN624565.1, MN624564.1, MN624563.1, MN624562.1, MN624561.1, MN624560.1, MN624559.1, MN624558.1, MN624557.1, MN624556.1, MN624555.1, MN624554.1, MN624553.1, MN624552.1, MN624551.1, MN624550.1, MN624549.1, MN624548.1, MN624547.1, MN624546.1, MN624545.1, MN624544.1, MN624543.1, MN624542.1, MN624541.1, MN624540.1, MN624539.1, MN624538.1, MN624537.1, MN624536.1, MN624535.1, MN624534.1, MN624533.1, MN624532.1, MN624531.1, MN624530.1, MN624529.1, MN624528.1, MN624527.1, MN624526.1, MN624525.1, MN624524.1, MN624523.1, MN624522.1, MN624521.1, MN624520.1, MN624519.1, MN624518.1, MN624517.1, MN624516.1, MN624515.1, MN624514.1, MN624513.1, MN624512.1, MN624511.1, MN624510.1, MN624509.1, MN624508.1, MN624507.1, MN624506.1, MN624505.1, MN624504.1, MN624503.1, MN624502.1, MN624501.1, MN624500.1, MN624499.1, MN624498.1, MN624497.1, MN624496.1, MN624495.1, MN624494.1, MN624493.1, MN624492.1, MN624491.1, MN624490.1, MN624489.1, MN624488.1, MN624487.1, MN624486.1, MN624485.1, MN624484.1, MN624483.1, MN624482.1, MN624481.1, MN624480.1, MN624479.1, MN624478.1, MN624477.1, MN624476.1, MN624475.1, MN624474.1, MN624473.1, MN624472.1, MN624471.1, MN624470.1, MN624469.1, MN624468.1, MN624467.1, MN624466.1, MN624465.1, MN624464.1, MN624463.1, MN624462.1, MN624461.1, MN624460.1, MN624459.1, MN624458.1, MN624457.1, MN624456.1, MN624455.1, MN624454.1, MN624453.1, MN624452.1, MN624451.1, MN624450.1, MN624449.1, MN624448.1, MN624447.1, MN624446.1, MN624445.1, MN624444.1, MN624443.1, MN624442.1, MN624441.1, MN624440.1, MN624439.1, MN624438.1, MN624437.1, MN624436.1, MN624435.1, MN624434.1, MN624433.1, MN624432.1, MN624431.1, MN624430.1, MN624429.1, MN624428.1, MN624427.1, MN624426.1, MN624425.1, MN624424.1, MN624423.1, MN624422.1, MN624421.1, MN624420.1, MN624419.1, MN624418.1, MN624417.1, MN624416.1, MN624415.1, MN624414.1, MN624413.1, MN624412.1, MN624411.1, MN624410.1, MN624409.1, MN624408.1, MN624407.1, MN624406.1, MN624405.1, MN624404.1, MN624403.1, MN624402.1, MN624401.1, MN624400.1, MN624399.1, MN624398.1, MN624397.1, MN624396.1, MN624395.1, MN624394.1, MN624393.1, MN624392.1, MN624391.1, MN624390.1, MN624389.1, MN624388.1, MN624387.1, MN624386.1, MN624385.1, MN624384.1, MN624383.1, MN624382.1, MN624381.1, MN624380.1, MN624379.1, MN624378.1, MN624377.1, MN624376.1, MN624375.1, MN624374.1, MN624373.1, MN624372.1, MN624371.1, MN624370.1, MN624369.1, MN624368.1, MN624367.1, MN624366.1, MN624365.1, MN624364.1, MN624363.1, MN624362.1, MN624361.1, MN624360.1, MN624359.1, MN624358.1, MN624357.1, MN624356.1, MN624355.1, MN624354.1, MN624353.1, MN624352.1, MN624351.1, MN624350.1, MN624349.1, MN624348.1, MN624347.1, MN624346.1, MN624345.1, MN624344.1, MN624343.1, MN624342.1, MN624341.1, MN624340.1, MN624339.1, MN624338.1, MN624337.1, MN624336.1, MN624335.1, MN624334.1, MN624333.1, MN624332.1, MN624331.1, MN624330.1, MN624329.1, MN624328.1, MN624327.1, MN624326.1, MN624325.1, MN624324.1, MN624323.1, MN624322.1, MN624321.1, MN624320.1, MN624319.1, MN624318.1, MN624317.1, MN624316.1, MN624315.1, MN624314.1, MN624313.1, MN624312.1, MN624311.1, MN624310.1, MN624309.1, MN624308.1, MN624307.1, MN624306.1, MN624305.1, MN624304.1, MN624303.1, MN624302.1, MN624301.1, MN624300.1, MN624299.1, MN624298.1, MN624297.1, MN624296.1, MN624295.1, MN624294.1, MN624293.1, MN624292.1, MN624291.1, MN624290.1, MN624289.1, MN624288.1, MN624287.1, MN624286.1, MN624285.1, MN624284.1, MN624283.1, MN624282.1, MN624281.1, MN624280.1, MN624279.1, MN624278.1, MN624277.1, MN624276.1, MN624275.1, MN624274.1, MN624273.1, MN624272.1, MN624271.1, MN624270.1, MN624269.1, MN624268.1, MN624267.1",Orthonairovirus haemorrhagiae (694),27-J (694),"Homo sapiens (505), Hyalomma marginatum (180), Dermacentor marginatus (6), Rhipicephalus turanicus (3)",Russia (694),"05-J (27), 27-J (27), 03-J (24), 19-M (21), 14-J (21), 08-J (18), 22-J (18), 23-J (16), 27-M (15), 13-M (15), 21-J (15), 02-J (15), 06-M (15), 20-J (15), 09-J (15), 26-M (12), 15-M (12), 25-M (12), 23-M (12), 04-M (12), 31-J (12), 24-J (12), 10-M (12), 04-J (12), 12-J (12), 30-J (12), 19-J (12), 03-M (9), 16-M (9), 14-M (9), 18-M (9), 15-J (9), 03-A (9), 16-J (9), 12-M (9), 28-M (9), 26-A (9), 30-M (9), 11-M (9), 21-M (9), 29-J (6), 20-A (6), 22-A (6), 23-A (6), 13-A (6), 20-M (6), 13-J (6), 28-J (6), 25-J (6), 26-J (6), 17-J (6), 18-J (6), 01-J (6), 10-J (6), 16-A (3), 15-A (3), 31-M (3), 07-J (3), 01-M (3), 22-M (3), 05-M (3), 28-A (3), 18-A (3), 25-A (3), 14-S (3), 29-M (3), 01-A (3), 10-A (3), 24-A (3), 11-J (3), 12-A (3), 09-A (3), 14-A (3), 08-M (3), 02-A (3), 27-A (3), 30-A (3), 02-M (3)","nucleocapsid protein (232), RNA-dependent RNA polymerase (231), envelope glycoprotein (231)","538 (232), 437 (231), 435 (230), 372 (1)","145 (461), 179 (232), 124 (1)","90%-95% (12), 95%-100% (682)"
102,"Volynkina A., Pisarenko S.",Direct Submission," Laboratory of Natural-Focal Infections, Stavropol State Research Anti-Plague Institute, Sovetskaya str. 13-15, Stavropol, Stavropol region 355017, Russian Federation",,2015,"KR814893.1, KR814892.1, KR814891.1, KR814890.1, KR814889.1, KR814888.1, KR814887.1, KR814886.1, KR814885.1, KR814884.1, KR814883.1, KR814882.1, KR814881.1, KR814880.1, KR814879.1, KR814878.1, KR814877.1, KR814876.1, KR814875.1, KR814874.1, KR814873.1, KR814872.1, KR814871.1, KR814870.1, KR814869.1, KR814868.1, KR814867.1, KR814866.1, KR814865.1, KR814864.1, KR814863.1, KR814862.1, KR814861.1, KR814860.1, KR814859.1, KR814858.1, KR814857.1, KR814856.1, KR814855.1, KR814854.1, KR814853.1, KR814852.1, KR814851.1, KR814850.1, KR814849.1, KR814848.1, KR814847.1, KR814846.1, KR814845.1, KR814844.1, KR814843.1, KR814842.1, KR814841.1, KR814840.1, KR814839.1, KR814838.1, KR814837.1",Orthonairovirus haemorrhagiae (57),01-J (57),Homo sapiens (57),Russia (57),"2007 (9), 2014 (9), 2012 (9), 2011 (6), 2009 (6), 2008 (6), 2010 (6), 2013 (6)","RNA-dependent RNA polymerase (19), envelope glycoprotein (19), nucleocapsid protein (19)","1000-3000 (19), 5000-10000 (19), >10000 (19)","3945 (19), 1688 (19), 482 (19)","90%-95% (2), 95%-100% (55)"
103,"Wang J., Wang B., Xia X., Zhou J., Wang Y., Wang Y.",Direct Submission," Faculty of Life Science and Technology, Kunming University of Science and Technology, 727 Jingming South Road, Kunming, Yunnan 650000, China",,2023,"OQ633004.1, OQ633003.1, OQ633002.1",Orthonairovirus haemorrhagiae (3),30-M (3),Capricornis milneedwardsii (3),China (3),15-A (3),"nucleoprotein (1), glycoprotein precursor (1), putative polyprotein (1)","1449 (1), 5103 (1), 11838 (1)","482 (1), 1676 (1), 3945 (1)","75%-90% (1), 90%-95% (2)"
104,"Wei P., Luo Y., Li T., Wang H., Hu Z., Zhang F., Zhang Y., Deng F., Sun S.",Serial expression of the truncated fragments of the nucleocapsid protein of CCHFV and identification of the epitope region,"Virol Sin 25 (1), 45-51 (2010)",20960283.0,2010,FJ562093.1,Orthonairovirus haemorrhagiae (1),24-O (1),tick (1),China (1),2004 (1),nucleocapsid protein (1),1673 (1),482 (1),95%-100% (1)
105,"Xia Y., Zhou Z., Meng W., Hu Z., Wang H., Zhang Y., Sun S., Li T., Deng F.",Direct Submission," Molecular Virology Lab, Wuhan Institution of Virology, CAS, No. 44, Xiaohongshan Middle District, Wuchan District, Wuhan, Hubei 430071, China",,2008,"FJ562095.1, FJ562094.1, FJ562093.1",Orthonairovirus haemorrhagiae (3),"11-M (2), 24-O (1)",tick (3),China (3),2004 (3),"RNA-dependent RNA polymerase (1), glycoprotein precursor (1), nucleocapsid protein (1)","12156 (1), 5377 (1), 1673 (1)","3945 (1), 1681 (1), 482 (1)","75%-90% (1), 95%-100% (2)"
106,Yadav P.,Direct Submission," Maximum Containment Laboratory, National Institute of Virology, Sus Road, Pashan, Pune, Maharashtra 411021, India",,2016,KY213714.1,Orthonairovirus haemorrhagiae (1),07-J (1),nan (1),India (1),2016 (1),nucleoprotein (1),1666 (1),482 (1),95%-100% (1)
107,"Yadav P., Mourya D.","A nosocomial outbreak of Crimean Congo hemorrhagic fever in Ahmedabad, India, 2011",Unpublished,,,JN627865.1,Orthonairovirus haemorrhagiae (1),22-M (1),Homo sapiens (1),India (1),2011 (1),L protein (1),12157 (1),3945 (1),95%-100% (1)
108,"Yadav P., Patil D., Shete A.",Direct Submission," Microbial Containment Complex, National Institute of Virology, Sus Road, Pashan, Pune, Maharashtra 411021, India",,2016,"KY213713.1, KY213712.1",Orthonairovirus haemorrhagiae (2),07-J (2),nan (2),India (2),2016 (2),"envelope glycoprotein precursor (1), RNA-dependent RNA polymerase (1)","5349 (1), 12110 (1)","1685 (1), 3945 (1)","75%-90% (1), 95%-100% (1)"
109,"Yadav P., Patil D., Shete A., Kokate P., Goyal P., Jadhav S., Sinha S., Zawar D., Sharma S., Kapil A., Sharma D., Upadhyay K., Mourya D.","Nosocomial infection of CCHF among health care workers in Rajasthan, India","BMC Infect. Dis. 16 (1), 624 (2016)",27809807.0,2016,"KT384403.1, KT384402.1, KT384401.1, KT384399.1, KT384398.1, KT384396.1, KT384394.1, KT384395.1, KT384393.1, KT384392.1, KT384391.1, KT384390.1, KT384389.1, KT384387.1, KT384386.1, KT384385.1, KT384384.1, KT384383.1",Orthonairovirus haemorrhagiae (18),25-N (18),nan (18),India (18),"2015 (10), 2013 (6), 2014 (2)",nan (18),"100-500 (1), 500-1000 (7), 1000-3000 (9), 5000-10000 (1)",0 (18),
110,"Yadav P., Thacker S., Patil D., Jain R., Mourya D.","Crimean-Congo Hemorrhagic Fever in Migrant Worker Returning from Oman to India, 2016","Emerging Infect. Dis. 23 (6), 1005-1008 (2017)",28518037.0,2017,"KY213714.1, KY213713.1, KY213712.1",Orthonairovirus haemorrhagiae (3),07-J (3),nan (3),India (3),2016 (3),"nucleoprotein (1), envelope glycoprotein precursor (1), RNA-dependent RNA polymerase (1)","1666 (1), 5349 (1), 12110 (1)","482 (1), 1685 (1), 3945 (1)","75%-90% (1), 95%-100% (2)"
111,"Yashina L., Vyshemirskii O., Seregin S., Petrova I., Samokhvalov E., Lvov D., Gutorov V., Kuzina I., Tyunnikov G., Tang Y., Netesov S., Petrov V.",Genetic analysis of Crimean-Congo hemorrhagic fever virus in Russia,"J. Clin. Microbiol. 41 (2), 860-862 (2003)",12574301.0,2003,"AF401650.1, AF401649.1, AF401648.1, AF401647.1, AY093625.1, AY093624.1, AY093623.1, AY093622.1, AY093621.1, AY093620.1",Orthonairovirus haemorrhagiae (10),"26-J (6), 23-J (4)",nan (10),"Russia: Volgograd Region (4), Russia: Rostov region (2), Russia: Volgograd region (1), Russia: Stavropol region (1), Russia: Rostov Region (1), Russia: Stavropole Region (1)",nan (10),envelope glycoprotein (10),323 (10),107 (10),95%-100% (10)
112,"Zhang Y., Sun S., Meng W., Muhetar R., Wang X., Ma J., Zhang F., Hu J., Dai X., Feng C., Hang C., Azati R., Tai X.",Direct Submission," Xinjiang Center for Disease Control and Prevention, Key Lab of Biological Resources and Genetic Engineering of Xinjiang, College of Life Science and Technology, Xinjiang University 830046, P.R. China",,2005,"DQ301505.1, DQ301504.1, DQ301503.1, DQ301502.1",Orthonairovirus haemorrhagiae (4),26-J (4),tick (4),China (4),nan (4),envelope glycoprotein precursor (4),424 (4),141 (4),"90%-95% (3), 95%-100% (1)"
113,"Ali M., Bente D., Shahid M., Ul-rahman A., Yaqub T.","Direct Submission, Prevalence and phylogenetic analysis of Crimean-Congo hemorrhagic fever virus in ticks collected from Punjab province of Pakistan","Institute of Microbiology, 105892 (2021), Acta Trop 218, Lahore, Outfall Road, Pakistan, Punjab 54600, University of Veterinary and Animal Sciences",33753031.0,2021,"MW915541.1, MW915542.1, MW915543.1, MW915544.1, MW915545.1, MW915546.1, MW915547.1, MW915548.1, MW915549.1, MW915550.1, MW915551.1, MW915552.1, MW915553.1, MW915554.1, MW915555.1, MW915556.1, MW915557.1, MW915558.1, MW915559.1, MW915560.1, MW915561.1",Orthonairovirus haemorrhagiae (21),21-A (21),tick (21),Pakistan (21),"14-S (2), 26-A (2), 08-M (2), 29-S (1), 29-A (1), 09-A (1), 27-M (1), 15-M (1), 02-M (1), 09-S (1), 10-A (1), 03-M (1), 21-A (1), 11-A (1), 06-M (1), 01-S (1), 28-A (1), 08-A (1)",nucleocapsid protein (21),195 (21),65 (21),90%-95% (21)
114,"Abdiyeva K., Dmitrovsky A., Dobler G., Essbauer S., Frey S., Heinrich N., Hoelscher M., Kachiyeva Z., Montag J., Shapiyeva Z., Shin A., Tukhanova N., Turebekov N., Wagner E., Yegemberdiyeva R., Yeraliyeva L., Zhalmagambetova A., Zinner J.","Direct Submission, Seroepidemiological and molecular investigations of infections with Crimean-Congo haemorrhagic fever virus in Kazakhstan","Virology & Rickettsiology, 121-127 (2019), Bundeswehr Institute of Microbiology, Germany, Int. J. Infect. Dis. 78, Muenchen 80937, Neuherbergstr. 11",30522982.0,"2018, 2019","MG974100.1, MG974101.1, MG974102.1, MG974103.1, MG974104.1",Orthonairovirus haemorrhagiae (5),26-D (5),Homo sapiens (5),"Kazakhstan: Kyzylorda (3), Kazakhstan: Shyiely (2)",nan (5),"nucleocapsid protein (3), RNA-dependent RNA polymerase (2)","181 (3), 647 (1), 673 (1)","60 (3), 215 (1), 224 (1)","90%-95% (1), 95%-100% (4)"
115,"Abuova G., Aliyev D., Berdaliyeva F., Karan L., Nurmagambet S., Polukchi T., Pshenichnaya N., Sadyhova D.","Direct Submission, Genotypes of the Congo-Crimean Hemorrhagic Fever Virus Occurring in the Turkestan Region","Department of molecular diagnostic and epidemiology, Arch Clin Infect Dis 17 (6), Central Research Institute of Epidemiology, Moscow 111123, Novogireevskaya 3A, Russia, e129126 (2022)",,"2022, 2023","OQ190959.1, OQ190960.1, OQ190961.1, OQ190962.1, OQ190963.1, OQ190964.1, OQ190965.1, OQ190966.1, OQ190967.1, OQ190968.1, OQ190969.1",Orthonairovirus haemorrhagiae (11),10-J (11),Homo sapiens (11),"Kazakhstan: Turkestan region (8), Kazakhstan: Shymkent (2), Kazakhstan (1)",2018 (11),"nucleocapsid protein (6), envelope glycoprotein precursor (5)","1000-3000 (8), 3000-5000 (1), 5000-10000 (2)","465 (6), 1664 (2), 1301 (1), 973 (1), 921 (1)","75%-90% (2), 90%-95% (3), 95%-100% (6)"
116,"Addo S., Agbodzi B., Ansah-owusu J., Asoala V., Baako B., Baidoo P., Bentil R., Dadzie S., Diclaro J., Dunford J., Kumordjie S., Larbi J., Tawiah-mensah C., Wilson M., Yartey K., Yeboah C.","Direct Submission, Molecular Identification of Crimean-Congo Haemorrhagic Fever Virus in Livestock Ticks in the Upper East Region of Ghana","NAMRU-3, Accra, Ghana, Legon +233, P O Box LG 581, University of Ghana Noguchi Memorial Institute for Medical Research, University of Ghana-Legon, Unpublished",,2023,"OQ441060.1, OQ441061.1, OQ441062.1",Orthonairovirus haemorrhagiae (3),18-J (3),Hyalomma rufipes (3),Ghana: Navrongo (3),13-F (3),"RNA-dependent RNA polymerase (1), glycoprotein precursor (1), nucleocapsid protein (1)","12134 (1), 5340 (1), 1635 (1)","3945 (1), 1677 (1), 482 (1)","75%-90% (1), 95%-100% (2)"
117,"Ahmed A., Bertolotti-ciarlet A., Doms R., Filone C., Hoffmann C., Khodjaev S., Mcfalls J., Paragas J., Schmaljohn C., Shermukhamedova D., Stewart S.","Direct Submission, Presence of broadly reactive and group-specific neutralizing epitopes on newly described isolates of Crimean-Congo hemorrhagic fever virus","Microbiology, 301C Johnson Pavilion 3610 Hamilton Walk, 3327-3336 (2005), J. Gen. Virol. 86 (PT 12), PA 19104, Philadelphia, USA, University of Pennsylvania",16298978.0,2005,"AY900141.1, AY900142.1, AY900143.1, AY900144.1, AY900145.1",Orthonairovirus haemorrhagiae (5),10-A (5),"Hyalomma marginatum (tick) (2), Homo sapiens (2), Alveonasus lahorensis (tick) (1)","South Africa (2), China (1), Uzbekistan (1), Uganda (1)",nan (5),envelope glycoprotein (5),"5070 (2), 5055 (2), 5100 (1)","1689 (2), 1685 (2), 1691 (1)","50%-75% (1), 75%-90% (4)"
118,"Akyildiz G., Bente D.","Crimean-Congo Hemorrhagic Fever Virus in Tortoises and Hyalomma aegyptium Ticks in Thrace, Direct Submission, Turkey: Potential of a Cryptic Transmission Cycle","Microbiology & Immunology, 301 University Blvd, Galveston, TX 77555-610, USA, University of Texas Medical Branch, Unpublished",,2019,"MN864494.1, MN864495.1",Orthonairovirus haemorrhagiae (2),04-M (2),"Testudo graeca (1), Hyalomma aegyptium (1)",Turkey (2),01-J (2),nucleoprotein (2),"209 (1), 211 (1)","70 (1), 69 (1)",95%-100% (2)
119,"Akyildiz G., Bircan R., Kar S.","Collection and Screening for CCHFV of Hyalomma marginatum questing unfed adults in Thrace, Direct Submission, Turkey","Department of Biology, Degirmenalti Campus, Namik Kemal University, Suleymanpasa 59100, Tekirdag, Turkey, Unpublished",,2019,"MN398288.1, MN398289.1, MN398290.1, MN398291.1, MN398292.1, MN398293.1, MN398294.1, MN398295.1, MN398296.1",Orthonairovirus haemorrhagiae (9),16-M (9),Hyalomma marginatum (9),Turkey: Kirklareli (9),2014 (9),structural capsid protein (9),172 (9),57 (9),95%-100% (9)
120,"Alam M., Angez M., Khurshid A., Rana M., Sharif S., Shaukat S., Zaidi S.","Direct Submission, Genetic analysis and epidemiology of Crimean Congo hemorrhagic fever viruses in Baluchistan province of Pakistan","Virology, 201 (2013), BMC Infect. Dis. 13, Chak Shahzad, Islamabad 44000, National Institute of Health-Pakistan, Pakistan, Park Road",23641865.0,2013,"KC869988.1, KC869989.1, KC869990.1, KC869991.1, KC869992.1, KC869993.1",Orthonairovirus haemorrhagiae (6),27-M (6),Homo sapiens (6),Pakistan (6),2008 (6),nucleocapsid (6),231 (6),77 (6),90%-95% (6)
121,"Albarino C., Bergeron E., Guerrero L., Khristova M., Metcalfe M., Pegan S., Spiropoulou C., Zivcec M.","Assessment of Inhibitors of Pathogenic Crimean-Congo Hemorrhagic Fever Virus Strains Using Virus-Like Particles, Direct Submission","Viral Special Pathogens Branch, 1600 Clifton Rd. NE, Atlanta, Centers for Disease Control and Prevention, E0004259 (2015), GA 30329, PLoS Negl Trop Dis 9 (12), USA",26625182.0,2015,"KR864901.1, KR864902.1",Orthonairovirus haemorrhagiae (2),23-D (2),Homo sapiens (2),"Turkey (1), Oman (1)","2004 (1), 1998 (1)",glycoprotein precursor (2),"5364 (1), 5361 (1)",1688 (2),"75%-90% (1), 95%-100% (1)"
122,"Aligholipour farzani T., Ergunay K., Farzani T., Foldes K., Hanifehnezhad A., Hashim mohamed ali H., Muhamed ali H., Ozkul A., Yilmaz E.","Co-Delivery Effect of CD24 on the Immunogenicity and Lethal Challenge Protection of a DNA Vector Expressing Nucleocapsid Protein of Crimean Congo Hemorrhagic Fever Virus, Direct Submission","Department of Virology, Ankara 06110, Ankara University, E75 (2019), Faculty of Veterinary Medicine, Sehit Omer Halisdemir Blv. Diskapi, Turkey, Viruses 11 (1)",30658445.0,"2018, 2019","MK309333.1, MK309334.1",Orthonairovirus haemorrhagiae (2),19-F (2),Homo sapiens (2),Turkey (2),"19-J (1), 16-A (1)",nan (2),"1370 (1), 1371 (1)",0 (2),
123,"Aradaib I., Elageb R., Erickson B., Karsany M., Khristova M., Mohamed M., Nichol S.","2008-2009, Direct Submission, Multiple crimean-congo hemorrhagic Fever virus strains are associated with disease outbreaks in Sudan","Special Pathogens Branch, 1600 Clifton Road, Atlanta, Centers for Disease Control and Prevention, E1159 (2011), GA 30333, PLoS Negl Trop Dis 5 (5), USA",21655310.0,"2010, 2011","HQ378179.1, HQ378180.1, HQ378181.1, HQ378182.1, HQ378183.1, HQ378184.1, HQ378185.1, HQ378186.1, HQ378187.1",Orthonairovirus haemorrhagiae (9),"28-J (8), 25-J (1)",Homo sapiens (9),"Sudan: Al-Fulah City, Western Kordufan Province (6), Sudan: Dunkop Village, Abyei District, Western Kordufan Province (3)","Oct- (6), Jun- (3)","glycoprotein precursor (4), RNA-dependent RNA polymerase (4), nucleoprotein (1)","1000-3000 (1), 3000-5000 (1), 5000-10000 (3), >10000 (4)","3945 (4), 1685 (3), 1110 (1), 482 (1)","75%-90% (3), 90%-95% (1), 95%-100% (5)"
